seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	tyc_pcoa_axis1	tyc_pcoa_axis2	tyc_pcoa_axis3	bc_pcoa_axis1	bc_pcoa_axis2	bc_pcoa_axis3	jac_pcoa_axis1	jac_pcoa_axis2	jac_pcoa_axis3	jest_pcoa_axis1	jest_pcoa_axis2	jest_pcoa_axis3	tyc_nmds_axis1	tyc_nmds_axis2	tyc_nmds_axis3	simpsoneven_03	simpson_03	simpson_lci_03	simpson_hci_03	invsimpson_03	invsimpson_lci_03	invsimpson_hci_03	shannon_03	shannon_lci_03	shannon_hci_03	npshannon_03	sobs_03	chao_03	chao_lci_03	chao_hci_03	nseqs
d11_1207_3	d11_1207_3	1207_3	11	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.188155	0.446411	-0.017707	-0.207681	0.426224	0.077196	-0.258341	-0.298799	0.03238	-0.283963	-0.278577	0.004545	0.46787	0.187553	0.106854	0.129455	0.234081	0.231698	0.236464	4.272025	4.228967	4.315969	1.639583	1.629454	1.649712	1.641777	33	34.875	33.293317	44.985748	26536
d11_1207_4	d11_1207_4	1207_4	11	1207	4	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.180791	0.480777	-0.010119	-0.169656	0.465288	0.071842	-0.225953	-0.201418	-0.041863	-0.235156	-0.18372	-0.082974	0.483655	0.167145	0.069161	0.093792	0.273381	0.26975	0.277013	3.657896	3.609942	3.707142	1.527431	1.514922	1.53994	1.531708	39	45.875	40.709308	66.651911	20922
d11_1268_1	d11_1268_1	1268_1	11	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.437232	-0.364604	-0.038509	-0.453171	-0.326565	-0.059233	-0.262773	0.151316	-0.059293	-0.290611	0.082837	-0.047478	-0.27829	0.484886	-0.163797	0.033514	0.99461	0.993278	0.995941	1.00542	1.004076	1.006767	0.027028	0.020953	0.033104	0.032719	30	47.142857	35.203695	86.474788	22972
d11_1268_2	d11_1268_2	1268_2	11	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.437307	-0.364504	-0.038504	-0.407399	-0.320788	-0.055662	-0.190271	0.326168	0.031236	-0.176576	0.364167	0.043111	-0.278137	0.484765	-0.163974	0.025858	0.991626	0.990247	0.993005	1.008444	1.007044	1.009849	0.039813	0.03386	0.045767	0.044415	39	52.6	43.291958	82.094551	33125
d11_1269_1	d11_1269_1	1269_1	11	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	-0.144575	0.514944	-0.018886	-0.17397	0.372076	0.111522	-0.21572	-0.099978	0.006246	-0.183155	-0.085518	-0.032758	0.548571	0.103322	0.015221	0.063796	0.401924	0.398657	0.405192	2.48803	2.467967	2.508421	1.142438	1.133318	1.151558	1.145277	39	66.2	47.263264	128.533628	42560
d11_1269_2	d11_1269_2	1269_2	11	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	-0.254448	0.404401	-0.021469	-0.304123	0.285458	0.067382	-0.191782	0.085474	-0.021378	-0.088312	0.26185	-0.226491	0.422302	0.196676	-0.045028	0.076743	0.334115	0.330799	0.337431	2.992981	2.963573	3.022979	1.322918	1.312692	1.333145	1.327056	39	91.5	55.708093	203.964963	32565
d11_1270_1	d11_1270_1	1270_1	11	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.224228	0.355387	0.009619	-0.303579	0.035192	0.115424	-0.219055	0.149306	-0.027619	-0.207074	0.207313	-0.087285	0.434385	0.180507	-0.227205	0.083196	0.57237	0.568192	0.576547	1.747123	1.734464	1.759968	0.763405	0.755893	0.770916	0.764835	21	30	23.002307	61.453337	50179
d11_1270_2	d11_1270_2	1270_2	11	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.221653	0.35708	0.006209	-0.247165	0.308945	0.134419	-0.312994	0.053138	-0.119289	-0.299946	0.015115	-0.01964	0.441071	0.179607	-0.231205	0.087713	0.600045	0.592848	0.607242	1.666541	1.646789	1.686773	0.690544	0.677875	0.703213	0.693422	19	22.75	19.6386	41.020811	16535
d11_1271_1	d11_1271_1	1271_1	11	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	-0.348297	0.206554	-0.012943	-0.397137	0.0857	0.08815	-0.225606	0.340554	-0.043771	-0.222205	0.437573	-0.003517	0.281807	0.28138	-0.20743	0.073485	0.486006	0.483306	0.488706	2.057589	2.046221	2.069084	0.804394	0.796801	0.811987	0.808184	28	34.6	29.712849	53.431317	26831
d11_1271_2	d11_1271_2	1271_2	11	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	-0.412808	0.08998	-0.024819	-0.422717	0.024611	0.071064	-0.188133	0.31893	0.010589	-0.166382	0.38732	-0.03724	0.172852	0.336727	-0.203571	0.06856	0.470512	0.468686	0.472338	2.125345	2.117127	2.133626	0.831413	0.824019	0.838807	0.834375	31	40.166667	33.29218	67.658448	30513
d19_1203_1	d19_1203_1	1203_1	19	1203	1	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.263785	-0.032567	-0.480257	0.155085	0.143381	-0.498233	-0.277386	-0.182216	-0.040459	-0.282903	-0.180061	-0.029617	-0.155605	0.053366	0.599023	0.140198	0.445798	0.436784	0.454811	2.24317	2.198714	2.289461	1.241282	1.221692	1.260871	1.242915	16	17	16.093649	26.678164	13888
d19_1203_2	d19_1203_2	1203_2	19	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.424506	0.014124	-0.270443	0.366934	0.031973	-0.223208	-0.112777	0.133964	0.201417	-0.117005	0.116526	0.186316	-0.066987	-0.286191	0.42573	0.145531	0.146199	0.14281	0.149589	6.83998	6.684983	7.002334	2.421306	2.400639	2.441973	2.42425	47	52.25	47.998395	74.606806	14234
d19_1203_3	d19_1203_3	1203_3	19	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.217492	0.171738	-0.426696	0.102278	0.335281	-0.341032	-0.216837	-0.301799	0.125851	-0.240127	-0.314262	0.079909	0.059033	0.009284	0.510193	0.14153	0.214111	0.210568	0.217653	4.670483	4.594474	4.74905	1.868295	1.854783	1.881807	1.87076	33	34.875	33.293317	44.985748	21608
d19_1203_4	d19_1203_4	1203_4	19	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.246098	0.220349	-0.426163	0.134175	0.382124	-0.32437	-0.211782	-0.309301	0.098809	-0.219738	-0.298548	0.072813	0.072796	-0.016285	0.5297	0.099485	0.27167	0.26742	0.27592	3.680938	3.624237	3.739442	1.67521	1.660293	1.690127	1.678535	37	41.5	37.978362	57.697853	21872
d19_1207_1	d19_1207_1	1207_1	19	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.221726	0.137695	-0.273745	0.175599	0.167255	-0.254964	-0.127951	-0.204844	0.047757	-0.113992	-0.206564	0.034883	0.252862	-0.190858	0.542775	0.118292	0.148309	0.145825	0.150794	6.742662	6.631558	6.857552	2.304367	2.286353	2.322382	2.307949	57	90	65.281529	188.497459	17332
d19_1207_3	d19_1207_3	1207_3	19	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.275936	0.018387	-0.459576	0.109516	0.20763	-0.352949	-0.241148	-0.210714	0.049007	-0.21911	-0.219703	0.042366	-0.122436	0.039043	0.607962	0.06924	0.465888	0.459088	0.472687	2.146441	2.115565	2.178231	1.208599	1.192688	1.22451	1.210949	31	40.333333	32.937063	75.970717	24284
d19_1207_4	d19_1207_4	1207_4	19	1207	4	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.329338	0.028294	-0.466012	0.228588	0.197038	-0.428552	-0.101071	-0.24157	0.119673	-0.120335	-0.240726	0.074976	-0.097965	-0.019324	0.621156	0.05426	0.329104	0.322342	0.335866	3.038549	2.977374	3.102291	1.749457	1.728441	1.770473	1.752739	56	58.625	56.469808	70.666883	19555
d19_1268_1	d19_1268_1	1268_1	19	1268	1	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.459418	-0.204603	-0.052816	0.276453	-0.118433	-0.088632	0.400773	-0.017303	0.015737	0.382837	-0.026739	0.040484	-0.237894	-0.441991	0.282032	0.051383	0.102972	0.101697	0.104247	9.711378	9.592636	9.833096	2.981554	2.970406	2.992703	2.983759	189	202.571429	193.633668	228.749	74629
d19_1268_2	d19_1268_2	1268_2	19	1268	2	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.443637	-0.140832	-0.082697	0.368322	-0.090144	-0.137536	0.361895	-0.003575	0.017102	0.351046	0.003154	0.052947	-0.108847	-0.486123	0.316149	0.062053	0.092088	0.090719	0.093457	10.859226	10.70015	11.023102	3.051826	3.037473	3.066178	3.056402	175	186.04	179.027818	205.25996	42808
d19_1268_3	d19_1268_3	1268_3	19	1268	3	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.491052	-0.156498	-0.023612	0.45208	-0.156454	-0.045003	0.381656	-0.002647	0.022135	0.380841	-0.004745	0.037319	-0.195828	-0.469558	0.268344	0.073419	0.075669	0.073873	0.077465	13.215451	12.908996	13.536811	3.371808	3.352483	3.391134	3.378314	180	193.8	185.10226	217.324636	24891
d19_1269_1	d19_1269_1	1269_1	19	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.120299	0.118679	0.401876	0.261905	-0.025432	0.404702	0.292207	-0.021274	-0.34644	0.273468	-0.008216	-0.363021	0.230563	-0.40155	-0.526188	0.094979	0.03557	0.03484	0.036299	28.113765	27.548828	28.702358	3.952302	3.93769	3.966915	3.96238	296	331.357143	314.016755	365.386942	33726
d19_1269_2	d19_1269_2	1269_2	19	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.106835	0.221612	0.40606	0.220465	0.070657	0.425525	0.295596	-0.021608	-0.318036	0.268799	-0.010429	-0.400435	0.325331	-0.371541	-0.411086	0.085156	0.044482	0.043591	0.045372	22.481154	22.039822	22.940521	3.790566	3.776422	3.80471	3.79819	264	319.038462	291.695323	373.377035	38473
d19_1269_3	d19_1269_3	1269_3	19	1269	3	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.145452	0.055146	0.406684	0.274219	-0.092969	0.37334	0.295853	-0.018647	-0.303715	0.267723	-0.002063	-0.344036	0.064541	-0.414431	-0.575797	0.114644	0.034341	0.033622	0.03506	29.11966	28.522233	29.742651	3.931141	3.913506	3.948777	3.943781	254	283.684211	268.450386	314.977773	22405
d19_1270_1	d19_1270_1	1270_1	19	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.472986	-0.134431	-0.156118	0.391562	-0.061102	-0.21274	0.283126	0.033548	0.157945	0.294147	0.019128	0.169456	-0.18407	-0.413352	0.398188	0.052172	0.155831	0.153485	0.158176	6.417216	6.322057	6.515283	2.487179	2.471993	2.502366	2.491348	123	146	131.329788	186.507017	37375
d19_1270_2	d19_1270_2	1270_2	19	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.225433	0.319949	-0.05413	0.270427	0.175399	-0.006691	0.32637	0.000468	0.094223	0.322904	-0.004649	0.069288	0.289612	-0.259374	0.194604	0.053324	0.132066	0.129863	0.13427	7.571943	7.447661	7.700443	2.642891	2.627803	2.65798	2.648113	142	151.625	145.358955	169.580189	36571
d19_1270_3	d19_1270_3	1270_3	19	1270	3	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.522811	-0.180393	-0.13793	0.441489	-0.156825	-0.12898	0.328938	-0.013599	0.015218	0.314443	-0.005634	-0.013493	-0.273008	-0.392013	0.362745	0.056601	0.081044	0.079303	0.082786	12.338913	12.079365	12.60986	3.355198	3.338494	3.371901	3.36411	218	250.228571	233.708327	284.122943	34555
d19_1271_1	d19_1271_1	1271_1	19	1271	1	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.138998	0.140218	0.428722	0.233814	0.029329	0.398202	0.259556	-0.029392	-0.354337	0.220175	-0.011333	-0.412923	0.287848	-0.491827	-0.34511	0.086646	0.043552	0.042961	0.044142	22.961152	22.654076	23.276668	3.654101	3.641366	3.666837	3.662584	265	301.666667	283.796471	336.526429	42829
d19_1271_2	d19_1271_2	1271_2	19	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.110973	0.196127	0.407937	0.236901	0.043954	0.407419	0.265857	-0.035517	-0.344143	0.225986	-0.018909	-0.40604	0.387168	-0.461622	-0.296538	0.086651	0.035509	0.034781	0.036237	28.161644	27.595797	28.751181	3.949289	3.934205	3.964372	3.963079	325	390.833333	362.46666	440.676919	32441
d19_1271_3	d19_1271_3	1271_3	19	1271	3	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.119807	0.165092	0.412498	0.261076	0.009327	0.415143	0.279974	-0.034591	-0.350898	0.233598	-0.020548	-0.42964	0.353295	-0.486409	-0.323699	0.095087	0.037031	0.036258	0.037804	27.004614	26.452394	27.580382	3.926254	3.910295	3.942212	3.936838	284	358.666667	323.366894	425.619277	29388
d4_1203_2	d4_1203_2	1203_2	4	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.202069	0.239184	0.01187	-0.080713	0.248099	0.024074	-0.017024	-0.008684	0.256505	0.007607	-0.014646	0.258676	0.242228	0.361447	0.186988	0.122846	0.162805	0.160865	0.164745	6.142311	6.069987	6.21638	2.052826	2.037462	2.06819	2.056894	50	66.5	54.257273	113.94939	16729
d4_1203_3	d4_1203_3	1203_3	4	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.196834	0.371365	0.020703	-0.098174	0.32603	0.065671	-0.042394	-0.115674	0.238845	-0.039004	-0.160097	0.227632	0.423743	0.084383	-0.008156	0.096248	0.188905	0.186136	0.191675	5.29366	5.217176	5.37242	1.945266	1.930094	1.960439	1.950511	55	75	61.016808	121.480432	18675
d4_1203_4	d4_1203_4	1203_4	4	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	-0.107845	0.459063	0.027612	-0.009538	0.375574	0.072264	-0.020369	-0.033748	0.244969	0.00476	-0.070783	0.193196	0.528856	-0.000308	0.082795	0.098596	0.177936	0.174798	0.181074	5.61999	5.522598	5.720878	2.133016	2.116106	2.149926	2.137315	57	117	73.653838	273.166389	19125
d4_1207_1	d4_1207_1	1207_1	4	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.355179	-0.024439	-0.458611	0.334364	0.059669	-0.424753	0.046825	0.004965	0.28057	0.068111	-0.035898	0.292553	-0.147573	-0.041509	0.605567	0.034557	0.370999	0.36266	0.379339	2.695422	2.636164	2.757405	1.733186	1.707261	1.759111	1.741158	78	88	81.05042	110.782374	15883
d4_1207_2	d4_1207_2	1207_2	4	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.375661	0.006647	-0.425124	0.340614	0.087278	-0.337535	0.141507	0.028318	0.251233	0.134002	-0.009216	0.255751	-0.104848	-0.107641	0.548544	0.044163	0.248829	0.243105	0.254552	4.018829	3.928465	4.113448	2.190117	2.166797	2.213436	2.195323	91	98.090909	92.923441	117.141173	19895
d4_1207_3	d4_1207_3	1207_3	4	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	0.415875	-0.157833	-0.071962	0.368379	-0.110966	-0.154342	0.362176	-0.032	0.105454	0.381826	-0.054035	0.133785	-0.405831	-0.222466	0.265993	0.074341	0.080548	0.078695	0.082401	12.414974	12.135746	12.707353	3.21504	3.194479	3.2356	3.223649	167	185	174.142009	212.365389	21101
d4_1268_3	d4_1268_3	1268_3	4	1268	3	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.435912	-0.354931	-0.026357	-0.31718	-0.152345	0.004004	-0.158453	0.315575	0.077031	-0.183772	0.395304	0.049235	-0.253684	0.436682	-0.229806	0.052626	0.55888	0.545152	0.572608	1.789293	1.746395	1.834351	0.999791	0.969234	1.030348	1.010884	34	38	34.85955	52.61439	6881
d4_1269_1	d4_1269_1	1269_1	4	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.322434	0.068829	0.032275	0.343398	-0.000445	-0.017519	0.345591	0.020268	0.089743	0.33951	0.028507	0.116158	0.079457	-0.370411	0.144528	0.094965	0.068825	0.067439	0.070211	14.529673	14.24283	14.828307	3.173459	3.154866	3.192053	3.18251	153	163.12	156.607491	181.389372	19555
d4_1269_2	d4_1269_2	1269_2	4	1269	2	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	0.396066	-0.09342	-0.015762	0.362854	-0.096743	-0.085957	0.311394	0.047006	0.13187	0.319525	0.038863	0.140982	-0.093829	-0.396675	0.180949	0.109479	0.070807	0.069426	0.072189	14.122828	13.852491	14.403926	3.082153	3.064681	3.099625	3.08919	129	152	137.329788	192.507017	19410
d4_1270_1	d4_1270_1	1270_1	4	1270	1	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.270871	0.289598	0.027335	-0.25914	0.206501	0.13775	-0.173063	0.212366	-0.009898	-0.145698	0.249286	-0.035155	0.350849	0.207286	-0.212679	0.068583	0.38371	0.378564	0.388856	2.606135	2.571645	2.641564	1.168034	1.154748	1.18132	1.174723	38	48.5	41.10628	73.492609	17387
d4_1270_2	d4_1270_2	1270_2	4	1270	2	mouse	F	9	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	-0.283417	0.294204	0.008215	-0.209593	0.286053	0.103686	-0.201344	0.37457	0.012723	-0.21146	0.502083	0.008241	0.357989	0.223423	-0.207324	0.077208	0.44662	0.439163	0.454078	2.239038	2.202265	2.277061	1.045276	1.026522	1.064031	1.053008	29	36.857143	30.961855	60.467512	10413
